Mòdul,Taula,Flutter,Go,Proto3,SQLite,MariaDB
LOCMOD,TRANSLATION,loc_translation.dart,loc_translation.go,loc_translation.proto,loc_lite_translation.sql,loc_maria_translation.sql
LSTMOD,OPTION_LIST,lst_option_list.dart,lst_option_list.go,lst_option_list.proto,lst_lite_option_list.sql,lst_maria_option_list.sql
LSTMOD,LIST_CATEGORY,lst_list_category.dart,lst_list_category.go,lst_list_category.proto,lst_lite_list_category.sql,lst_maria_list_category.sql
LSTMOD,OPTION_ENTRY,lst_option_entry.dart,lst_option_entry.go,lst_option_entry.proto,lst_lite_option_entry.sql,lst_maria_option_entry.sql
EMOMOD,MOOD,emo_mood.dart,emo_mood.go,emo_mood.proto,emo_lite_mood.sql,emo_maria_mood.sql
EMOMOD,EMOTION,emo_emotion.dart,emo_emotion.go,emo_emotion.proto,emo_lite_emotion.sql,emo_maria_emotion.sql
USRMOD,USER,usr_user.dart,usr_user.go,usr_user.proto,usr_lite_user.sql,usr_maria_user.sql
USRMOD,DEVICE,usr_device.dart,usr_device.go,usr_device.proto,usr_lite_device.sql,usr_maria_device.sql
USRMOD,FCM_HISTORY,usr_fcm_history.dart,usr_fcm_history.go,usr_fcm_history.proto,usr_lite_fcm_history.sql,usr_maria_fcm_history.sql
DISMOD,DSM_V,dis_dsm_v.dart,dis_dsm_v.go,dis_dsm_v.proto,dis_lite_dsm_v.sql,dis_maria_dsm_v.sql
DISMOD,DISEASE,dis_disease.dart,dis_disease.go,dis_disease.proto,dis_lite_disease.sql,dis_maria_disease.sql
DISMOD,PHASE,dis_phase.dart,dis_phase.go,dis_phase.proto,dis_lite_phase.sql,dis_maria_phase.sql
DISMOD,GOAL,dis_goal.dart,dis_goal.go,dis_goal.proto,dis_lite_goal.sql,dis_maria_goal.sql
RSCMOD,RESOURCE,rsc_resource.dart,rsc_resource.go,rsc_resource.proto,rsc_lite_resource.sql,rsc_maria_resource.sql
RSCMOD,PHASE_RESOURCE,rsc_phase_resource.dart,rsc_phase_resource.go,rsc_phase_resource.proto,rsc_lite_phase_resource.sql,rsc_maria_phase_resource.sql
TCKMOD,TRACKING,tck_tracking.dart,tck_tracking.go,tck_tracking.proto,tck_lite_tracking.sql,tck_maria_tracking.sql
TCKMOD,TRACKING_COLUMN,tck_tracking_column.dart,tck_tracking_column.go,tck_tracking_column.proto,tck_lite_tracking_column.sql,tck_maria_tracking_column.sql
TCKMOD,PHASE_TRACKING,tck_phase_tracking.dart,tck_phase_tracking.go,tck_phase_tracking.proto,tck_lite_phase_tracking.sql,tck_maria_phase_tracking.sql
TSTMOD,TEST,tst_test.dart,tst_test.go,tst_test.proto,tst_lite_test.sql,tst_maria_test.sql
TSTMOD,QUESTION,tst_question.dart,tst_question.go,tst_question.proto,tst_lite_question.sql,tst_maria_question.sql
TSTMOD,TEST_CATEGORY,tst_test_category.dart,tst_test_category.go,tst_test_category.proto,tst_lite_test_category.sql,tst_maria_test_category.sql
DGNMOD,DIAGNOSIS,dgn_diagnosis.dart,dgn_diagnosis.go,dgn_diagnosis.proto,dgn_lite_diagnosis.sql,dgn_maria_diagnosis.sql
DGNMOD,DIAGNOSIS_PHASE,dgn_diagnosis_phase.dart,dgn_diagnosis_phase.go,dgn_diagnosis_phase.proto,dgn_lite_diagnosis_phase.sql,dgn_maria_diagnosis_phase.sql
DGNMOD,ACHIEVEMENT,dgn_achievement.dart,dgn_achievement.go,dgn_achievement.proto,dgn_lite_achievement.sql,dgn_maria_achievement.sql
MATMOD,MATERIAL,mat_material.dart,mat_material.go,mat_material.proto,mat_lite_material.sql,mat_maria_material.sql
MATMOD,PHASE_MATERIAL,mat_phase_material.dart,mat_phase_material.go,mat_phase_material.proto,mat_lite_phase_material.sql,mat_maria_phase_material.sql
REGMOD,REGISTER,reg_register.dart,reg_register.go,reg_register.proto,reg_lite_register.sql,reg_maria_register.sql
REGMOD,REGISTER_COLUMN,reg_register_column.dart,reg_register_column.go,reg_register_column.proto,reg_lite_register_column.sql,reg_maria_register_column.sql
RESMOD,PATIENT_TEST,res_patient_test.dart,res_patient_test.go,res_patient_test.proto,res_lite_patient_test.sql,res_maria_patient_test.sql
RESMOD,ANSWER,res_answer.dart,res_answer.go,res_answer.proto,res_lite_answer.sql,res_maria_answer.sql
TSKMOD,TASK,tsk_task.dart,tsk_task.go,tsk_task.proto,tsk_lite_task.sql,tsk_maria_task.sql
VISMOD,VISIT,vis_visit.dart,vis_visit.go,vis_visit.proto,vis_lite_visit.sql,vis_maria_visit.sql
NTFMOD,NOTIFICATION,ntf_notification.dart,ntf_notification.go,ntf_notification.proto,ntf_lite_notification.sql,ntf_maria_notification.sql
